"Host Species","Gut Microbe (ID)",Rank,"Metabolite (ID)",Evidence,"Evidence Number"
human,Oscillospira(119852),genus,"4-Pyridoxic acid(6723, CHEBI:17405)",causally,1
human,Oscillospira(119852),genus,"Citric Acid(311, CHEBI:30769)",causally,1
human,Oscillospiraceae(216572),family,"2-Methylbutyrate(22253297, CHEBI:48946)",causally,1
human,Oscillospiraceae(216572),family,"3-Indolepropionic acid(3744, CHEBI:43580)",causally,1
human,Oscillospiraceae(216572),family,"Creatine(586, CHEBI:16919)",correlatively,1
human,Oscillospiraceae(216572),family,"Hexanoate(4398339, CHEBI:17120)",causally,1
human,Oscillospiraceae(216572),family,"Isobutyric acid(6590, CHEBI:16135)",causally,1
human,Oscillospiraceae(216572),family,"Isovalerate(3587356, CHEBI:48942)",causally,1
human,Oscillospiraceae(216572),family,"l-Isoleucine(6306, CHEBI:17191)",causally,1
human,Oscillospiraceae(216572),family,"Urea(1176, CHEBI:16199)",correlatively,1
human,Parabacteroides(375288),genus,"2'-Deoxyguanosine(135398592, CHEBI:17172)",correlatively,1
human,Parabacteroides(375288),genus,"2'-Deoxyinosine(135398593, CHEBI:28997)",correlatively,1
human,Parabacteroides(375288),genus,"3-Hydroxy-2-methylbutanoic acid(160471, CHEBI:37051)",correlatively,1
human,Parabacteroides(375288),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Parabacteroides(375288),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Parabacteroides(375288),genus,"5-Methoxyindole-3-acetic acid(18986, CHEBI:28281)",correlatively,1
human,Parabacteroides(375288),genus,"Amylotriose(439586, CHEBI:140999)",correlatively,1
human,Parabacteroides(375288),genus,"Coumarin(323, CHEBI:28794)",correlatively,1
human,Parabacteroides(375288),genus,"DL-Aspartic acid(424, CHEBI:22660)",correlatively,1
human,Parabacteroides(375288),genus,"Gondoic Acid(5282768, CHEBI:32425)",correlatively,1
human,Parabacteroides(375288),genus,"Indole-3-lactic acid(92904, CHEBI:24813)",correlatively,1
human,Parabacteroides(375288),genus,"Isoallolithocholic acid(94228, CHEBI:166734)",causally,1
human,Parabacteroides(375288),genus,"Linoleic Acid(5280450, CHEBI:17351)",correlatively,1
human,Parabacteroides(375288),genus,"Melezitose(92817, CHEBI:6731)",correlatively,1
human,Parabacteroides(375288),genus,"Methionine(6137, CHEBI:16643)",correlatively,1
human,Parabacteroides(375288),genus,"Myristic Acid(11005, CHEBI:28875)",correlatively,1
human,Parabacteroides(375288),genus,"Oleic Acid(445639, CHEBI:16196)",correlatively,1
human,Parabacteroides(375288),genus,"Palmitic Acid(985, CHEBI:15756)",correlatively,1
human,Parabacteroides(375288),genus,"Palmitoleic Acid(445638, CHEBI:28716)",correlatively,1
human,Parabacteroides(375288),genus,"Palmitoylethanolamide(4671, CHEBI:71464)",correlatively,1
human,Parabacteroides(375288),genus,"Pantothenic Acid(6613, CHEBI:46905)",correlatively,1
human,Parabacteroides(375288),genus,"Thymine(1135, CHEBI:17821)",correlatively,1
human,Parabacteroides(375288),genus,"Xanthine(1188, CHEBI:17712)",correlatively,1
human,"Parabacteroides distasonis(823)",species,"Bile acid(439520, CHEBI:22868)",causally,1
human,"Parabacteroides distasonis(823)",species,"DL-Tartaric acid(875, CHEBI:15674)",correlatively,1
human,"Parabacteroides distasonis(823)",species,"Kaempferol(5280863, CHEBI:28499)",causally,1
human,"Parabacteroides distasonis(823)",species,"Secoisolariciresinol(65373, CHEBI:65004)",causally,1
human,"Parabacteroides distasonis(823)",species,"Succinate(160419, CHEBI:30031)",causally,1
human,"Paraeggerthella hongkongensis(230658)",species,"Equol(91469, CHEBI:34741)",causally,1
human,Paraprevotella(577309),genus,"Glycocholic acid(10140, CHEBI:17687)",causally,1
human,"Paraprevotella clara(454154)",species,"(10-[(Acetyloxy)methyl]-9-anthryl)methyl acetate(613145)",causally,1
human,"Paraprevotella clara(454154)",species,"Succinate(160419, CHEBI:30031)",causally,1
human,"Paraprevotella xylaniphila(454155)",species,"(10-[(Acetyloxy)methyl]-9-anthryl)methyl acetate(613145)",causally,1
human,"Paraprevotella xylaniphila(454155)",species,"Succinate(160419, CHEBI:30031)",causally,1
human,Parasutterella(577310),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Parasutterella(577310),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,"Parasutterella excrementihominis(487175)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,"Parvimonas micra(33033)",species,"Linoleic Acid(5280450, CHEBI:17351)",correlatively,1
human,"Parvimonas micra(33033)",species,"Valine(6287, CHEBI:16414)",correlatively,1
human,"Peptostreptococcus anaerobius(1261)",species,"3-Indolepropionic acid(3744, CHEBI:43580)",causally,1
human,"Peptostreptococcus anaerobius(1261)",species,"Glycine(750, CHEBI:15428)",correlatively,1
human,"Peptostreptococcus anaerobius(1261)",species,"Myristic Acid(11005, CHEBI:28875)",correlatively,1
human,Phascolarctobacterium(33024),genus,"4-Methylpentanoic acid(12587, CHEBI:74903)",correlatively,1
human,Phascolarctobacterium(33024),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Phascolarctobacterium(33024),genus,"Butyrate(104775, CHEBI:17968)",correlatively,1
human,Phascolarctobacterium(33024),genus,"Caproic Acid(8892, CHEBI:30776)",correlatively,1
human,Phascolarctobacterium(33024),genus,"Isobutyric acid(6590, CHEBI:16135)",correlatively,1
human,Phascolarctobacterium(33024),genus,"Phenylalanine(6140, CHEBI:17295)",correlatively,1
human,Phascolarctobacterium(33024),genus,"Propionate(104745, CHEBI:17272)",correlatively,1
human,Phascolarctobacterium(33024),genus,"Serine(5951, CHEBI:17115)",correlatively,1
human,Phascolarctobacterium(33024),genus,"Valeric acid(7991, CHEBI:17418)",correlatively,1
human,"Phascolarctobacterium succinatutens(626940)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,"Phocaeicola vulgatus(821)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Porphyromonas gingivalis(837)",species,"Gamma-Aminobutyric Acid(119, CHEBI:16865)",correlatively,1
human,Prevotella(838),genus,"2-Methylbutyrate(22253297, CHEBI:48946)",causally,1
human,Prevotella(838),genus,"Doconexent(445580, CHEBI:28125)",correlatively,1
human,Prevotella(838),genus,"Hexanoate(4398339, CHEBI:17120)",causally,1
human,Prevotella(838),genus,"Isobutyric acid(6590, CHEBI:16135)",causally,1
human,Prevotella(838),genus,"Isovalerate(3587356, CHEBI:48942)",causally,1
human,Prevotella(838),genus,"l-Isoleucine(6306, CHEBI:17191)",causally,1
human,"Prevotella nigrescens(28133)",species,"Asparagine(6267, CHEBI:17196)",correlatively,1
human,Prevotellaceae(171552),family,"Succinate(160419, CHEBI:30031)",causally,1
human,Proteus(583),genus,"Acetate(175, CHEBI:30089)",correlatively,1
human,Proteus(583),genus,"Propionate(104745, CHEBI:17272)",correlatively,1
human,Pseudobutyrivibrio(46205),species,"Butyrate(104775, CHEBI:17968)",causally,1
human,Pseudomonadota(1224),phylum,"Benzoate(242, CHEBI:16150)",correlatively,1
human,Pseudomonas(286),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Pseudomonas(286),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,"Pseudomonas fragi(296)",species,"4-Pyridoxic acid(6723, CHEBI:17405)",causally,1
human,Pyramidobacter(638847),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Pyramidobacter(638847),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Roseburia(841),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Roseburia(841),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Roseburia(841),genus,"Butyrate(104775, CHEBI:17968)",causally,1
human,"Roseburia hominis(301301)",species,"Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,"Roseburia intestinalis(166486)",species,"Acetate(175, CHEBI:30089)",correlatively,1
human,"Roseburia intestinalis(166486)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,"Roseburia inulinivorans(360807)",species,"1-Propanol(1031, CHEBI:28831)",causally,1
human,"Roseburia inulinivorans(360807)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,"Roseburia inulinivorans(360807)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,"Roseburia sp. A2-181",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,"Roseburia sp. A2-183(180589)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,Ruminococcus(1263),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Ruminococcus(1263),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,Ruminococcus(1263),genus,"Alanine(5950, CHEBI:16977)",correlatively,1
human,Ruminococcus(1263),genus,"Deoxycholic Acid(222528, CHEBI:28834)",correlatively,1
human,Ruminococcus(1263),genus,Glycerophospholipids,causally,1
human,Ruminococcus(1263),genus,"Glycine(750, CHEBI:15428)",correlatively,1
human,Ruminococcus(1263),genus,"l-Isoleucine(6306, CHEBI:17191)",correlatively,1
human,Ruminococcus(1263),genus,"Leucine(6106, CHEBI:15603)",correlatively,1
human,Ruminococcus(1263),genus,"Proline(145742, CHEBI:17203)",correlatively,1
human,Ruminococcus(1263),genus,"Serine(5951, CHEBI:17115)",correlatively,1
human,Ruminococcus(1263),genus,"Ursodiol(31401, CHEBI:9907)",correlatively,1
human,"Ruminococcus bromii(40518)",species,"4-Pyridoxic acid(6723, CHEBI:17405)",causally,1
human,"Ruminococcus bromii(40518)",species,"DL-Tartaric acid(875, CHEBI:15674)",correlatively,1
human,"Ruminococcus bromii(40518)",species,"Glycerin(753, CHEBI:17754)",causally,1
human,"Ruminococcus bromii(40518)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,"Ruminococcus champanellensis(1161942)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Ruminococcus champanellensis(1161942)",species,"Succinate(160419, CHEBI:30031)",causally,1
human,Saccharomyces(4930),genus,"Capric Acid(2969, CHEBI:30813)",correlatively,1
human,"Saccharomyces cerevisiae(4932)",species,"Ethanol(702, CHEBI:16236)",causally,1
human,"Saccharomycetales sp.(1891166)",species,"Acetate(175, CHEBI:30089)",correlatively,1
human,"Saccharomycetales sp.(1891166)",species,"Butyrate(104775, CHEBI:17968)",correlatively,1
human,Shigella(620),genus,"Indoxyl sulfate(10258, CHEBI:43355)",causally,1
human,Shigella(620),genus,"Trimethylamine oxide(1145, CHEBI:15724)",causally,1
human,"Slackia equolifaciens(498718)",species,"(2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol",causally,1
human,"Slackia equolifaciens(498718)",species,"3,4-Dihydroxy-trans-stilbene(10176710)",causally,1
human,"Slackia equolifaciens(498718)",species,"Dihydroresveratrol(185914, CHEBI:4582)",causally,1
human,"Slackia equolifaciens(498718)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Slackia equolifaciens(498718)",species,"Lunularin(181511, CHEBI:6568)",causally,1
human,"Slackia faecicanis sp.",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Slackia isoflavoniconvertens(572010)",species,"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)-propan-2-ol",causally,1
human,"Slackia isoflavoniconvertens(572010)",species,"(2S)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol",causally,1
human,"Slackia isoflavoniconvertens(572010)",species,5-OH-Equol,causally;causally;causally,3
human,"Slackia isoflavoniconvertens(572010)",species,"Equol(91469, CHEBI:34741)",causally;causally,2
human,"Slackia sp. NATTS(647703)",species,"Equol(91469, CHEBI:34741)",causally;causally,2
human,Streptococcus(1301),genus,"L-Leucic acid(83697, CHEBI:44510)",correlatively,1
human,"Streptococcus australis(113107)",species,"Acetate(175, CHEBI:30089)",correlatively,1
human,"Streptococcus intermedius(1338)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Streptococcus mutans(1309)",species,"5-hydroxy-1H-imidazole-4-carboxamide(124343, CHEBI:88290)",causally,1
human,"Streptococcus salivarius(1304)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,"Streptococcus sp. MRG-ICA-B(1705604)",species,"Baohuoside I(5488822, CHEBI:82619)",causally,1
human,"Streptococcus vestibularis(1343)",species,"Butyrate(104775, CHEBI:17968)",causally,1
human,Subdoligranulum(292632),genus,"5-(3,4-Dihydroxyphenyl)pentanoic acid(49831816, CHEBI:137503)",correlatively,1
human,Subdoligranulum(292632),genus,"5-(3-hydroxyphenyl)pentanoic Acid(10559720, CHEBI:137517)",correlatively,1
human,"Subdoligranulum sp.(2053618)",species,"(R)-3-(4-Hydroxyphenyl)lactate(9548632, CHEBI:10980)",causally,1
human,"Subdoligranulum sp.(2053618)",species,"Ethyl phenyllactate, (-)-(9877619)",causally,1
human,"Succinatimonas hippei(626938)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Succinatimonas hippei(626938)",species,"Succinate(160419, CHEBI:30031)",causally,1
human,"Succinivibrio dextrinosolvens(83771)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"Succinivibrio dextrinosolvens(83771)",species,"Formate(283, CHEBI:15740)",causally,1
human,"Succinivibrio dextrinosolvens(83771)",species,"Lactate(91435, CHEBI:24996)",causally,1
human,"Succinivibrio dextrinosolvens(83771)",species,"Succinate(160419, CHEBI:30031)",causally,1
human,Sutterella(40544),genus,"4-Methylpentanoic acid(12587, CHEBI:74903)",correlatively,1
human,Sutterella(40544),genus,"Amylotriose(439586, CHEBI:140999)",correlatively,1
human,Sutterella(40544),genus,"Caproic Acid(8892, CHEBI:30776)",correlatively,1
human,Sutterella(40544),genus,"Isobutyric acid(6590, CHEBI:16135)",correlatively,1
human,Sutterella(40544),genus,"Isovaleric acid(10430, CHEBI:28484)",correlatively,1
human,Sutterella(40544),genus,"Propionate(104745, CHEBI:17272)",correlatively,1
human,Sutterella(40544),genus,"Valeric acid(7991, CHEBI:17418)",correlatively,1
human,"Synergistes sp.(2774297)",species,"Aspartic Acid(5960, CHEBI:17053)",correlatively,1
human,"Synergistes sp.(2774297)",species,"Tyrosine(6057, CHEBI:17895)",correlatively,1
human,"Thomasclavelia ramosa(1547)",species,"N,O-Bis-(trimethylsilyl)phenylalanine(522502, CHEBI:174218)",correlatively,1
human,Turicibacter(191303),genus,"Dihydrocaffeic acid(348154, CHEBI:48400)",correlatively,1
human,Turicibacter(191303),genus,"DL-Tartaric acid(875, CHEBI:15674)",correlatively,1
human,"unclassified Eggerthella(2648737)","no rank","Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,"unclassified Parabacteroides(2649774)","no rank","Butyrate(104775, CHEBI:17968)",correlatively,1
human,"uncultured Ruminiclostridium sp.(1757166)",species,"Creatine(586, CHEBI:16919)",correlatively,1
human,"uncultured Ruminiclostridium sp.(1757166)",species,"Urea(1176, CHEBI:16199)",correlatively,1
human,Veillonella(29465),genus,"Propionate(104745, CHEBI:17272)",causally,1
human,"Veillonella ratti(103892)",species,"Propionate(104745, CHEBI:17272)",causally,1
human,"Veillonella sp.(1926307)",species,"Equol(91469, CHEBI:34741)",causally,1
human,"Veillonella sp.(1926307)",species,"Hydrogen Sulfide(402, CHEBI:16136)",causally,1
human,"Veillonella sp. 32",species,"Leucocyanidin(71629, CHEBI:15758)",causally,1
human,Veillonellaceae(31977),family,"Succinate(160419, CHEBI:30031)",causally,1
human,"Weissella confusa(1583)",species,"Ethanol(702, CHEBI:16236)",causally,1
human,"Weissella paramesenteroides(1249)",species,"beta-D-fructofuranose(439709, CHEBI:28645)",causally,1
human,Wickerhamiella(45787),genus,"Chenodiol(10133, CHEBI:16755)",correlatively,1
human,Wickerhamiella(45787),genus,"Glycochenodeoxycholic acid(12544, CHEBI:36274)",correlatively,1
human,Wickerhamiella(45787),genus,"Glycocholic acid(10140, CHEBI:17687)",correlatively,1
human,Wickerhamiella(45787),genus,"Glycoursodeoxycholic acid(12310288, CHEBI:89929)",correlatively,1
human,Wickerhamiella(45787),genus,"Taurocholic acid(6675, CHEBI:28865)",correlatively,1
human,Wickerhamiella(45787),genus,"Taurodeoxycholic acid(2733768, CHEBI:9410)",correlatively,1
human,Wickerhamiella(45787),genus,"Taurolithocholic acid(439763, CHEBI:36259)",correlatively,1
human,"[Clostridium] nexile 1",species,"Trimethylamine oxide(1145, CHEBI:15724)",correlatively,1
human,"[Clostridium] scindens(29347)",species,"Acetate(175, CHEBI:30089)",causally,1
human,"[Clostridium] scindens(29347)",species,"Deoxycholic Acid(222528, CHEBI:28834)",causally;causally,2
human,"[Clostridium] scindens(29347)",species,"Enterodiol(115089, CHEBI:81556)",causally,1
human,"[Clostridium] scindens(29347)",species,"Ethanol(702, CHEBI:16236)",causally,1
human,"[Clostridium] scindens(29347)",species,"Formate(283, CHEBI:15740)",causally,1
human,"[Clostridium] scindens(29347)",species,"Hydrogen(783, CHEBI:33251)",causally,1
human,"[Clostridium] scindens(29347)",species,"Lithocholic acid(9903, CHEBI:16325)",causally;causally,2
human,"[Clostridium] symbiosum 1",species,"L-homoserine(12647, CHEBI:15699)",correlatively,1
human,"[Clostridium] symbiosum 1",species,"Valine(6287, CHEBI:16414)",correlatively,1
human,"[Eubacterium] siraeum 1",species,"Creatine(586, CHEBI:16919)",correlatively,1
human,"[Eubacterium] siraeum 1",species,"Ethanol(702, CHEBI:16236)",correlatively,1
human,"[Eubacterium] siraeum 1",species,"Urea(1176, CHEBI:16199)",correlatively,1
human,"[Ruminococcus] torques(33039)",species,"l-Isoleucine(6306, CHEBI:17191)",correlatively,1
human,"[Ruminococcus] torques(33039)",species,"Leucine(6106, CHEBI:15603)",correlatively,1
human,"[Ruminococcus] torques(33039)",species,"Valine(6287, CHEBI:16414)",correlatively,1
