Name,Common_name,Uniprot_ID,ChEMBL_ID,Class,Probability,Known_Actives,,NA.1
Glutamate receptor ionotropic kainate 2,GRIK2,Q13002,CHEMBL3683,Ligand-gated ion channel,0.0238327432783,31 /  14     ,NA,NA
Glutamate receptor ionotropic kainate 3,GRIK3,Q13003,CHEMBL3684,Ligand-gated ion channel,0.0238327432783,4 /  1     ,NA,NA
Glutamate receptor ionotropic kainate 5,GRIK5,Q16478,CHEMBL2675,Ligand-gated ion channel,0.0238327432783,3 /  1     ,NA,NA
Glutamate NMDA receptor; GRIN1/GRIN2A,GRIN2A GRIN1,Q12879 Q05586,CHEMBL1907604,Ligand-gated ion channel,0.100578902067,11 /  0     ,NA,NA
Rhodopsin kinase,GRK1,Q15835,CHEMBL5607,Kinase,0.0535560755162,1 /  0     ,NA,NA
G-protein coupled receptor kinase 2,GRK2,P25098,CHEMBL4079,Kinase,0.0312265582077,2 /  0     ,NA,NA
G protein-coupled receptor kinase 6,GRK6,P43250,CHEMBL6144,Kinase,0.0428942118511,15 /  0     ,NA,NA
G protein-coupled receptor kinase 7,GRK7,Q8WTQ7,CHEMBL1075133,Kinase,0.0822215166115,3 /  0     ,NA,NA
Metabotropic glutamate receptor 1,GRM1,Q13255,CHEMBL3772,Family C G protein-coupled receptor,0.0238327432783,1 /  4     ,NA,NA
Metabotropic glutamate receptor 2,GRM2,Q14416,CHEMBL5137,Family C G protein-coupled receptor,0.0238327432783,8 /  18     ,NA,NA
Metabotropic glutamate receptor 3,GRM3,Q14832,CHEMBL2888,Family C G protein-coupled receptor,0.0238327432783,7 /  11     ,NA,NA
Metabotropic glutamate receptor 4,GRM4,Q14833,CHEMBL2736,Family C G protein-coupled receptor,0.0238327432783,0 /  3     ,NA,NA
Metabotropic glutamate receptor 5,GRM5,P41594,CHEMBL3227,Family C G protein-coupled receptor,0.0238327432783,0 /  4     ,NA,NA
Metabotropic glutamate receptor 6,GRM6,O15303,CHEMBL4573,Family C G protein-coupled receptor,0.0238327432783,5 /  8     ,NA,NA
Metabotropic glutamate receptor 7,GRM7,Q14831,CHEMBL3777,Family C G protein-coupled receptor,0.0238327432783,0 /  1     ,NA,NA
Metabotropic glutamate receptor 8,GRM8,O00222,CHEMBL3228,Family C G protein-coupled receptor,0.0238327432783,0 /  2     ,NA,NA
Glycogen synthase kinase-3 alpha,GSK3A,P49840,CHEMBL2850,Kinase,0.0428942118511,7 /  0     ,NA,NA
Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.048952897826,2 /  1     ,NA,NA
Glutathione reductase,GSR,P00390,CHEMBL2755,Oxidoreductase,0.0428942118511,5 /  0     ,NA,NA
Glutathione S-transferase A1,GSTA1,P08263,CHEMBL3409,Enzyme,0.100578902067,0 /  2     ,NA,NA
Glutathione S-transferase A2,GSTA2,P09210,CHEMBL2241,Enzyme,0.100578902067,1 /  2     ,NA,NA
Glutathione S-transferase kappa 1,GSTK1,Q9Y2Q3,CHEMBL4491,Enzyme,0.033970689612,0 /  1     ,NA,NA
Glutathione S-transferase Mu 1,GSTM1,P09488,CHEMBL2081,Enzyme,0.100578902067,0 /  2     ,NA,NA
Glutathione S-transferase Pi,GSTP1,P09211,CHEMBL3902,Enzyme,0.100578902067,4 /  8     ,NA,NA
Beta-glucuronidase,GUSB,P08236,CHEMBL2728,Enzyme,0.0535560755162,11 /  0     ,NA,NA
Muscle glycogen synthase,GYS1,P13807,CHEMBL4000,Enzyme,0.104671941128,19 /  0     ,NA,NA
Granzyme B,GZMB,P10144,CHEMBL2316,Protease,0.0604245879294,0 /  3     ,NA,NA
Hydroxyacid oxidase 1,HAO1,Q9UJM8,CHEMBL4229,Enzyme,0.0238327432783,0 /  1     ,NA,NA
Hydroxycarboxylic acid receptor 2   (by homology),HCAR2,Q8TDS4,CHEMBL3785,Family A G protein-coupled receptor,0.0312265582077,41 /  0     ,NA,NA
HM74 nicotinic acid GPCR,HCAR3,P49019,CHEMBL4421,Family A G protein-coupled receptor,0.980243838738,1 /  1     ,NA,NA
Tyrosine-protein kinase HCK,HCK,P08631,CHEMBL3234,Kinase,0.0535560755162,86 /  0     ,NA,NA
Histone deacetylase 1,HDAC1,Q13547,CHEMBL325,Eraser,0.0428942118511,0 /  8     ,NA,NA
Histone deacetylase 10,HDAC10,Q969S8,CHEMBL5103,Eraser,0.0428942118511,0 /  4     ,NA,NA
Histone deacetylase 11,HDAC11,Q96DB2,CHEMBL3310,Eraser,0.0428381527054,21 /  0     ,NA,NA
Histone deacetylase 2,HDAC2,Q92769,CHEMBL1937,Eraser,0.0428942118511,0 /  5     ,NA,NA
Histone deacetylase 3,HDAC3,O15379,CHEMBL1829,Eraser,0.0238327432783,0 /  1     ,NA,NA
Histone deacetylase 4,HDAC4,P56524,CHEMBL3524,Eraser,0.0428381527054,19 /  0     ,NA,NA
Histone deacetylase 5,HDAC5,Q9UQL6,CHEMBL2563,Eraser,0.0428942118511,0 /  1     ,NA,NA
Histone deacetylase 6,HDAC6,Q9UBN7,CHEMBL1865,Eraser,0.0238327432783,1 /  0     ,NA,NA
Histone deacetylase 7,HDAC7,Q8WUI4,CHEMBL2716,Eraser,0.0428381527054,8 /  0     ,NA,NA
Histone deacetylase 8,HDAC8,Q9BY41,CHEMBL3192,Eraser,0.0238327432783,1 /  0     ,NA,NA
Histone deacetylase 9,HDAC9,Q9UKV0,CHEMBL4145,Eraser,0.0978745343258,8 /  0     ,NA,NA
Hepatocyte growth factor activator,HGFAC,Q04756,CHEMBL3351190,Unclassified protein,0.0604245879294,0 /  3     ,NA,NA
Hypoxia-inducible factor 1 alpha,HIF1A,Q16665,CHEMBL4261,Transcription factor,0.11150186548,0 /  7     ,NA,NA
Homeodomain-interacting protein kinase 4,HIPK4,Q8NE63,CHEMBL1075167,Kinase,0.0822215166115,6 /  0     ,NA,NA
HLA class I histocompatibility antigen A-3,HLA-A,P04439,CHEMBL2632,Surface antigen,0.0951255886644,0 /  63     ,NA,NA
HLA class II histocompatibility antigen DRB1-1,HLA-DRB1,P04229,CHEMBL1943,Surface antigen,0.100578902067,16 /  0     ,NA,NA
HMG-CoA reductase,HMGCR,P04035,CHEMBL402,Oxidoreductase,0.0238327432783,0 /  8     ,NA,NA
Hepatocyte nuclear factor 4-alpha,HNF4A,P41235,CHEMBL5398,Unclassified protein,0.0535560755162,9 /  0     ,NA,NA
15-hydroxyprostaglandin dehydrogenase [NAD+],HPGD,P15428,CHEMBL1293255,Enzyme,0.0972399887602,81 /  5     ,NA,NA
Hematopoietic prostaglandin D synthase,HPGDS,O60760,CHEMBL5879,Transferase,0.109339753231,6 /  0     ,NA,NA
Heparanase,HPSE,Q9Y251,CHEMBL3921,Enzyme,0.033970689612,0 /  2     ,NA,NA
Transforming protein p21/H-Ras-1,HRAS,P01112,CHEMBL2167,Other cytosolic protein,0.0535560755162,2 /  0     ,NA,NA
Histamine H1 receptor,HRH1,P35367,CHEMBL231,Family A G protein-coupled receptor,0.0238327432783,3 /  8     ,NA,NA
Histamine H2 receptor,HRH2,P25021,CHEMBL1941,Family A G protein-coupled receptor,0.0439186325197,0 /  6     ,NA,NA
Histamine H3 receptor,HRH3,Q9Y5N1,CHEMBL264,Family A G protein-coupled receptor,0.053517944289,0 /  129     ,NA,NA
Histamine H4 receptor,HRH4,Q9H3N8,CHEMBL3759,Family A G protein-coupled receptor,0.053517944289,0 /  80     ,NA,NA
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.0238327432783,0 /  10     ,NA,NA
11-beta-hydroxysteroid dehydrogenase 2,HSD11B2,P80365,CHEMBL3746,Enzyme,0.0443083186041,0 /  3     ,NA,NA
Estradiol 17-beta-dehydrogenase 1,HSD17B1,P14061,CHEMBL3181,Enzyme,0.0312265582077,0 /  41     ,NA,NA
17-beta-hydroxysteroid dehydrogenase 14,HSD17B14,Q9BPX1,CHEMBL3712868,Enzyme,0.048952897826,1 /  0     ,NA,NA
Estradiol 17-beta-dehydrogenase 2,HSD17B2,P37059,CHEMBL2789,Enzyme,0.0312265582077,0 /  3     ,NA,NA
Estradiol 17-beta-dehydrogenase 3,HSD17B3,P37058,CHEMBL4234,Enzyme,0.0238327432783,0 /  11     ,NA,NA
3-keto-steroid reductase,HSD17B7,P56937,CHEMBL5999,Enzyme,0.0978745343258,0 /  3     ,NA,NA
Heat shock protein HSP 90-alpha,HSP90AA1,P07900,CHEMBL3880,Other cytosolic protein,0.0312265582077,2 /  0     ,NA,NA
Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.0428381527054,90 /  0     ,NA,NA
Endoplasmin,HSP90B1,P14625,CHEMBL1075323,Other membrane protein,0.0978745343258,10 /  0     ,NA,NA
Heat shock 70 kDa protein 1,HSPA1A,P0DMV8,CHEMBL5460,Other cytosolic protein,0.0312265582077,3 /  0     ,NA,NA
78 kDa glucose-regulated protein,HSPA5,P11021,CHEMBL1781865,Unclassified protein,0.0535560755162,6 /  0     ,NA,NA
Heat shock cognate 71 kDa protein,HSPA8,P11142,CHEMBL1275223,Other cytosolic protein,0.0535560755162,10 /  0     ,NA,NA
Serotonin 1a (5-HT1a) receptor,HTR1A,P08908,CHEMBL214,Family A G protein-coupled receptor,0.0312265582077,1 /  8     ,NA,NA
Serotonin 1b (5-HT1b) receptor,HTR1B,P28222,CHEMBL1898,Family A G protein-coupled receptor,0.0238327432783,0 /  36     ,NA,NA
Serotonin 1d (5-HT1d) receptor,HTR1D,P28221,CHEMBL1983,Family A G protein-coupled receptor,0.0238327432783,0 /  33     ,NA,NA
Serotonin 1e (5-HT1e) receptor,HTR1E,P28566,CHEMBL2182,Family A G protein-coupled receptor,0.0312265582077,0 /  9     ,NA,NA
Serotonin 2a (5-HT2a) receptor,HTR2A,P28223,CHEMBL224,Family A G protein-coupled receptor,0.0238327432783,178 /  0     ,NA,NA
Serotonin 2b (5-HT2b) receptor,HTR2B,P41595,CHEMBL1833,Family A G protein-coupled receptor,0.0238327432783,122 /  0     ,NA,NA
Serotonin 2c (5-HT2c) receptor,HTR2C,P28335,CHEMBL225,Family A G protein-coupled receptor,0.0238327432783,0 /  38     ,NA,NA
Serotonin 3a (5-HT3a) receptor   (by homology),HTR3A,P46098,CHEMBL1899,Ligand-gated ion channel,0.033970689612,2 /  0     ,NA,NA
Serotonin 4 (5-HT4) receptor,HTR4,Q13639,CHEMBL1875,Family A G protein-coupled receptor,0.0312265582077,0 /  4     ,NA,NA
Serotonin 5a (5-HT5a) receptor,HTR5A,P47898,CHEMBL3426,Family A G protein-coupled receptor,0.0312265582077,0 /  9     ,NA,NA
Serotonin 6 (5-HT6) receptor,HTR6,P50406,CHEMBL3371,Family A G protein-coupled receptor,0.0238327432783,0 /  23     ,NA,NA
Serotonin 7 (5-HT7) receptor,HTR7,P34969,CHEMBL3155,Family A G protein-coupled receptor,0.033970689612,0 /  88     ,NA,NA
Huntingtin,HTT,P42858,CHEMBL5514,Unclassified protein,0.0439186325197,4 /  0     ,NA,NA
Hormonally up-regulated neu tumor-associated kinase,HUNK,P57058,CHEMBL1795165,Enzyme,0.0822215166115,4 /  0     ,NA,NA
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.0743922719035,0 /  1     ,NA,NA
Serine/threonine-protein kinase ICK,ICK,Q9UPZ9,CHEMBL1163126,Kinase,0.0822215166115,3 /  0     ,NA,NA
Isoprenylcysteine carboxyl methyltransferase,ICMT,O60725,CHEMBL4699,Enzyme,0.0604245879294,49 /  0     ,NA,NA
Insulin-degrading enzyme,IDE,P14735,CHEMBL1293287,Enzyme,0.956190835638,3 /  2     ,NA,NA
Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,O75874,CHEMBL2007625,Enzyme,0.104671941128,251 /  0     ,NA,NA
"Indoleamine 2,3-dioxygenase",IDO1,P14902,CHEMBL4685,Enzyme,0.0312265582077,2 /  1     ,NA,NA
Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0.0312265582077,2 /  14     ,NA,NA
Insulin-like growth factor II receptor,IGF2R,P11717,CHEMBL3240,Membrane receptor,0.108770969359,0 /  4     ,NA,NA
Insulin-like growth factor binding protein 1,IGFBP1,P08833,CHEMBL4178,Secreted protein,0.0978745343258,2 /  0     ,NA,NA
Insulin-like growth factor binding protein 2,IGFBP2,P18065,CHEMBL3088,Secreted protein,0.0978745343258,2 /  0     ,NA,NA
Insulin-like growth factor binding protein 3,IGFBP3,P17936,CHEMBL3997,Secreted protein,0.0535560755162,21 /  0     ,NA,NA
Insulin-like growth factor binding protein 4,IGFBP4,P22692,CHEMBL2310,Secreted protein,0.0978745343258,2 /  0     ,NA,NA
Insulin-like growth factor binding protein 5,IGFBP5,P24593,CHEMBL2665,Secreted protein,0.0535560755162,7 /  0     ,NA,NA
Insulin-like growth factor binding protein 6,IGFBP6,P24592,CHEMBL2139,Secreted protein,0.0978745343258,2 /  0     ,NA,NA
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.041891066893,24 /  0     ,NA,NA
Interleukin-1 beta,IL1B,P01584,CHEMBL1909490,Secreted protein,0.0743922719035,0 /  2     ,NA,NA
Interleukin-2,IL2,P60568,CHEMBL5880,Secreted protein,0.0642387798076,0 /  1     ,NA,NA
Interleukin-6,IL6,P05231,CHEMBL1795129,Secreted protein,0.0978745343258,0 /  1     ,NA,NA
Interleukin-6 receptor subunit beta,IL6ST,P40189,CHEMBL3124734,Membrane receptor,0.0604245879294,6 /  0     ,NA,NA
Serine/threonine-protein kinase ILK-1,ILK,Q13418,CHEMBL5247,Kinase,0.112041901328,5 /  0     ,NA,NA
Inosine-5'-monophosphate dehydrogenase 1,IMPDH1,P20839,CHEMBL1822,Oxidoreductase,0.0604245879294,13 /  0     ,NA,NA
Inosine-5'-monophosphate dehydrogenase 2,IMPDH2,P12268,CHEMBL2002,Oxidoreductase,0.0238327432783,0 /  17     ,NA,NA
Insulin receptor,INSR,P06213,CHEMBL1981,Kinase,0.048952897826,5 /  0     ,NA,NA
Insulin receptor-related protein,INSRR,P14616,CHEMBL5483,Kinase,0.109339753231,2 /  0     ,NA,NA
Interleukin-1 receptor-associated kinase 4,IRAK4,Q9NWZ3,CHEMBL3778,Kinase,0.109339753231,47 /  0     ,NA,NA
Integrin alpha-2,ITGA2,P17301,CHEMBL4998,Unclassified protein,0.112041901328,1 /  0     ,NA,NA
Integrin alpha-IIb/beta-3,ITGA2B ITGB3,P08514 P05106,CHEMBL2093869,Membrane receptor,0.0443083186041,0 /  28     ,NA,NA
Leukocyte adhesion glycoprotein LFA-1 alpha,ITGAL,P20701,CHEMBL1803,Adhesion,0.0743922719035,0 /  3     ,NA,NA
"Intercellular adhesion molecule (ICAM-1), Integrin alpha-L/beta-2",ITGAL ICAM1 ITGB2,P20701 P05362 P05107,CHEMBL2096661,Membrane receptor,0.0312265582077,7 /  0     ,NA,NA
Integrin alpha-V/beta-3,ITGAV ITGB3,P06756 P05106,CHEMBL1907598,Membrane receptor,0.0978745343258,76 /  0     ,NA,NA
Integrin alpha1/beta1 complex,ITGB1 ITGA1,P05556 P56199,CHEMBL3137278,Membrane receptor,0.0428942118511,1 /  0     ,NA,NA
Integrin alpha2/beta1,ITGB1 ITGA2,P05556 P17301,CHEMBL3137268,Unclassified protein,0.0428942118511,29 /  0     ,NA,NA
Integrin alpha-4/beta-1,ITGB1 ITGA4,P05556 P13612,CHEMBL1907599,Membrane receptor,0.0238327432783,0 /  14     ,NA,NA
Integrin alpha-5/beta-1,ITGB1 ITGA5,P05556 P08648,CHEMBL2095226,Membrane receptor,0.0428942118511,2 /  0     ,NA,NA
Integrin alpha-4/beta-7,ITGB7 ITGA4,P26010 P13612,CHEMBL2095184,Membrane receptor,0.0312265582077,3 /  0     ,NA,NA
Tyrosine-protein kinase ITK/TSK,ITK,Q08881,CHEMBL2959,Kinase,0.0604245879294,18 /  0     ,NA,NA
Tyrosine-protein kinase JAK1,JAK1,P23458,CHEMBL2835,Kinase,0.0312265582077,90 /  0     ,NA,NA
Tyrosine-protein kinase JAK2,JAK2,O60674,CHEMBL2971,Kinase,0.0312265582077,130 /  0     ,NA,NA
Tyrosine-protein kinase JAK3,JAK3,P52333,CHEMBL2148,Kinase,0.0312265582077,73 /  0     ,NA,NA
Proto-oncogene c-JUN,JUN,P05412,CHEMBL4977,Transcription factor,0.0428942118511,0 /  1     ,NA,NA
Histone acetyltransferase PCAF,KAT2B,Q92831,CHEMBL5500,Writer,0.0717871625222,6 /  0     ,NA,NA
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.048952897826,0 /  9     ,NA,NA
Voltage-gated potassium channel subunit Kv1.5,KCNA5,P22460,CHEMBL4306,Voltage-gated ion channel,0.0312265582077,29 /  0     ,NA,NA
"Voltage-gated potassium channel, IKs; KCNQ1(Kv7.1)/KCNE1(MinK)",KCNE1 KCNQ1,P15382 P51787,CHEMBL2221347,Voltage-gated ion channel,0.0312265582077,11 /  0     ,NA,NA
HERG,KCNH2,Q12809,CHEMBL240,Voltage-gated ion channel,0.0238327432783,0 /  1     ,NA,NA
Kir3.1/Kir3.4,KCNJ5 KCNJ3,P48544 P48549,CHEMBL3038488,Voltage-gated ion channel,0.0439186325197,1 /  10     ,NA,NA
Kir3.1/Kir3.2,KCNJ6 KCNJ3,P48051 P48549,CHEMBL3038489,Voltage-gated ion channel,0.033970689612,0 /  6     ,NA,NA
Calcium-activated potassium channel subunit alpha-1,KCNMA1,Q12791,CHEMBL4304,Voltage-gated ion channel,0.0535560755162,13 /  0     ,NA,NA
Intermediate conductance calcium-activated potassium channel protein 4,KCNN4,O15554,CHEMBL4305,Voltage-gated ion channel,0.0439186325197,0 /  1     ,NA,NA
Voltage-gated potassium channel subunit Kv7.1,KCNQ1,P51787,CHEMBL1866,Voltage-gated ion channel,0.100578902067,22 /  0     ,NA,NA
Lysine-specific histone demethylase 1,KDM1A,O60341,CHEMBL6136,Eraser,0.100578902067,6 /  0     ,NA,NA
Lysine-specific demethylase 2A,KDM2A,Q9Y2K7,CHEMBL1938210,Eraser,0.0238327432783,0 /  1     ,NA,NA
Lysine-specific demethylase 2B,KDM2B,Q8NHM5,CHEMBL3779760,Eraser,0.112041901328,3 /  0     ,NA,NA
Lysine-specific demethylase 3A,KDM3A,Q9Y4C1,CHEMBL1938209,Eraser,0.0604245879294,2 /  0     ,NA,NA
Lysine-specific demethylase 4A,KDM4A,O75164,CHEMBL5896,Eraser,0.0439186325197,3 /  0     ,NA,NA
Lysine-specific demethylase 4B,KDM4B,O94953,CHEMBL3313832,Eraser,0.0604245879294,2 /  0     ,NA,NA
Lysine-specific demethylase 4C,KDM4C,Q9H3R0,CHEMBL6175,Eraser,0.0312265582077,13 /  0     ,NA,NA
Lysine-specific demethylase 4D,KDM4D,Q6B0I6,CHEMBL6138,Eraser,0.0604245879294,6 /  0     ,NA,NA
Lysine-specific demethylase 4D-like,KDM4E,B2RXH2,CHEMBL1293226,Eraser,0.0238327432783,4 /  0     ,NA,NA
Lysine-specific demethylase 5A,KDM5A,P29375,CHEMBL2424504,Eraser,0.0439186325197,1 /  0     ,NA,NA
Lysine-specific demethylase 5B,KDM5B,Q9UGL1,CHEMBL3774295,Eraser,0.0439186325197,1 /  0     ,NA,NA
Lysine-specific demethylase 5C,KDM5C,P41229,CHEMBL2163176,Eraser,0.0238327432783,0 /  1     ,NA,NA
Lysine-specific demethylase 6B,KDM6B,O15054,CHEMBL1938211,Eraser,0.0604245879294,2 /  0     ,NA,NA
Vascular endothelial growth factor receptor 2,KDR,P35968,CHEMBL279,Kinase,0.0312265582077,4 /  5     ,NA,NA
Kelch-like ECH-associated protein 1,KEAP1,Q14145,CHEMBL2069156,Unclassified protein,0.104671941128,13 /  0     ,NA,NA
Ketohexokinase,KHK,P50053,CHEMBL1275212,Enzyme,0.104671941128,9 /  0     ,NA,NA
Kinesin-like protein 1,KIF11,P52732,CHEMBL4581,Other cytosolic protein,0.0312265582077,0 /  9     ,NA,NA
Kinesin-like protein KIF20A,KIF20A,O95235,CHEMBL2021753,Other cytosolic protein,0.104671941128,6 /  0     ,NA,NA
Metastin receptor,KISS1R,Q969F8,CHEMBL5413,Family A G protein-coupled receptor,0.0238327432783,0 /  3     ,NA,NA
Stem cell growth factor receptor,KIT,P10721,CHEMBL1936,Kinase,0.0238327432783,0 /  5     ,NA,NA
Kallikrein 1,KLK1,P06870,CHEMBL2319,Protease,0.0978745343258,0 /  1     ,NA,NA
Kallikrein 2,KLK2,P20151,CHEMBL2442,Protease,0.0972399887602,0 /  1     ,NA,NA
Prostate specific antigen,KLK3,P07288,CHEMBL2099,Protease,0.041891066893,14 /  0     ,NA,NA
Plasma kallikrein,KLKB1,P03952,CHEMBL2000,Protease,0.100578902067,9 /  0     ,NA,NA
Kynurenine 3-monooxygenase,KMO,O15229,CHEMBL2145,Oxidoreductase,0.0238327432783,5 /  0     ,NA,NA
Kynurenine--oxoglutarate transaminase 3,KYAT3,Q6YP21,CHEMBL2046260,Enzyme,0.0439186325197,2 /  0     ,NA,NA
Kynureninase,KYNU,Q16719,CHEMBL5100,Enzyme,0.0238327432783,4 /  0     ,NA,NA
Leucine aminopeptidase,LAP3,P28838,CHEMBL3965,Protease,0.0238327432783,0 /  5     ,NA,NA
Tyrosine-protein kinase LCK,LCK,P06239,CHEMBL258,Kinase,0.0238327432783,2 /  0     ,NA,NA
L-lactate dehydrogenase A chain,LDHA,P00338,CHEMBL4835,Enzyme,0.0238327432783,0 /  11     ,NA,NA
L-lactate dehydrogenase B chain,LDHB,P07195,CHEMBL4940,Enzyme,0.0238327432783,0 /  9     ,NA,NA
Galectin-3,LGALS3,P17931,CHEMBL4531,Other cytosolic protein,0.041891066893,1 /  13     ,NA,NA
Galectin-4,LGALS4,P56470,CHEMBL1671608,Other cytosolic protein,0.0513021102812,1 /  3     ,NA,NA
P47929,LGALS7,P47929,CHEMBL5008,Other cytosolic protein,0.041891066893,0 /  1     ,NA,NA
Galectin-8,LGALS8,O00214,CHEMBL5475,Other cytosolic protein,0.0513021102812,1 /  3     ,NA,NA
Legumain   (by homology),LGMN,Q99538,CHEMBL4244,Protease,0.0312265582077,11 /  0     ,NA,NA
LIM domain kinase 1,LIMK1,P53667,CHEMBL3836,Kinase,0.104671941128,47 /  0     ,NA,NA
LIM domain kinase 2,LIMK2,P53671,CHEMBL5932,Kinase,0.100578902067,41 /  0     ,NA,NA
Lysosomal acid lipase/cholesteryl ester hydrolase,LIPA,P38571,CHEMBL4184,Enzyme,0.0604245879294,5 /  0     ,NA,NA
Cystinyl aminopeptidase,LNPEP,Q9UIQ6,CHEMBL2693,Protease,0.101613854776,1 /  0     ,NA,NA
Lysophosphatidic acid receptor Edg-2   (by homology),LPAR1,Q92633,CHEMBL3819,Family A G protein-coupled receptor,0.100578902067,0 /  30     ,NA,NA
Lysophosphatidic acid receptor Edg-4,LPAR2,Q9HBW0,CHEMBL3724,Family A G protein-coupled receptor,0.100578902067,0 /  23     ,NA,NA
Lysophosphatidic acid receptor Edg-7,LPAR3,Q9UBY5,CHEMBL3250,Family A G protein-coupled receptor,0.100578902067,0 /  36     ,NA,NA
Lysophosphatidic acid receptor 4,LPAR4,Q99677,CHEMBL5968,Family A G protein-coupled receptor,0.106542925976,2 /  11     ,NA,NA
Lysophosphatidic acid receptor 5,LPAR5,Q9H1C0,CHEMBL5700,Family A G protein-coupled receptor,0.12313842565,0 /  9     ,NA,NA
Lysophosphatidic acid receptor 6,LPAR6,P43657,CHEMBL2331058,Family A G protein-coupled receptor,0.12313842565,0 /  9     ,NA,NA
Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,CHEMBL1075104,Kinase,0.0312265582077,94 /  0     ,NA,NA
Leukotriene A4 hydrolase,LTA4H,P09960,CHEMBL4618,Protease,0.0238327432783,0 /  3     ,NA,NA
Leukotriene B4 receptor 1,LTB4R,Q15722,CHEMBL3911,Family A G protein-coupled receptor,0.0428942118511,1 /  9     ,NA,NA
Tyrosine-protein kinase Lyn   (by homology),LYN,P07948,CHEMBL3905,Kinase,0.0579568757034,0 /  1     ,NA,NA
Acyl-protein thioesterase 1,LYPLA1,O75608,CHEMBL1681631,Enzyme,0.0312265582077,0 /  1     ,NA,NA
Acyl-protein thioesterase 2,LYPLA2,O95372,CHEMBL1932891,Enzyme,0.0312265582077,0 /  1     ,NA,NA
Myelin-associated glycoprotein,MAG,P20916,CHEMBL5807,Unclassified protein,0.041891066893,1 /  23     ,NA,NA
Monoamine oxidase A,MAOA,P21397,CHEMBL1951,Oxidoreductase,0.0238327432783,2 /  0     ,NA,NA
Monoamine oxidase B,MAOB,P27338,CHEMBL2039,Oxidoreductase,0.0238327432783,23 /  0     ,NA,NA
Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,Q02750,CHEMBL3587,Kinase,0.0312265582077,0 /  1     ,NA,NA
Dual specificity mitogen-activated protein kinase kinase 2,MAP2K2,P36507,CHEMBL2964,Kinase,0.11150186548,3 /  0     ,NA,NA
Dual specificity mitogen-activated protein kinase kinase 3,MAP2K3,P46734,CHEMBL2109,Kinase,0.104671941128,1 /  0     ,NA,NA
Dual specificity mitogen-activated protein kinase kinase 4,MAP2K4,P45985,CHEMBL2897,Kinase,0.104671941128,1 /  0     ,NA,NA
Mitogen-activated protein kinase kinase kinase 12,MAP3K12,Q12852,CHEMBL1908389,Enzyme,0.0822215166115,70 /  0     ,NA,NA
Mitogen-activated protein kinase kinase kinase 13,MAP3K13,O43283,CHEMBL1163124,Kinase,0.0822215166115,3 /  0     ,NA,NA
Mitogen-activated protein kinase kinase kinase 14,MAP3K14,Q99558,CHEMBL5888,Kinase,0.041891066893,85 /  0     ,NA,NA
Mitogen-activated protein kinase kinase kinase 15,MAP3K15,Q6ZN16,CHEMBL1163127,Kinase,0.0822215166115,2 /  0     ,NA,NA
SPS1/STE20-related protein kinase YSK4,MAP3K19,Q56UN5,CHEMBL6191,Kinase,0.104671941128,8 /  0     ,NA,NA
Mixed lineage kinase 7,MAP3K20,Q9NYL2,CHEMBL3886,Kinase,0.104671941128,5 /  0     ,NA,NA
Mitogen-activated protein kinase kinase kinase 7,MAP3K7,O43318,CHEMBL5776,Kinase,0.109339753231,10 /  0     ,NA,NA
Mitogen-activated protein kinase kinase kinase 8,MAP3K8,P41279,CHEMBL4899,Kinase,0.0428942118511,14 /  0     ,NA,NA
MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.041891066893,150 /  0     ,NA,NA
c-Jun N-terminal kinase 3,MAPK10,P53779,CHEMBL2637,Kinase,0.0312265582077,44 /  0     ,NA,NA
MAP kinase p38 beta,MAPK11,Q15759,CHEMBL3961,Kinase,0.100578902067,36 /  0     ,NA,NA
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.0312265582077,64 /  0     ,NA,NA
Mitogen-activated protein kinase 15,MAPK15,Q8TD08,CHEMBL5198,Kinase,0.109339753231,2 /  0     ,NA,NA
MAP kinase ERK1,MAPK3,P27361,CHEMBL3385,Kinase,0.0535560755162,0 /  1     ,NA,NA
c-Jun N-terminal kinase 1,MAPK8,P45983,CHEMBL2276,Kinase,0.0312265582077,2 /  0     ,NA,NA
c-Jun N-terminal kinase 2,MAPK9,P45984,CHEMBL4179,Kinase,0.0312265582077,8 /  0     ,NA,NA
MAP kinase-activated protein kinase 2,MAPKAPK2,P49137,CHEMBL2208,Kinase,0.048952897826,13 /  13     ,NA,NA
